# BLASTN 2.7.1+
# Query: gi|383286742|ref|NR_047517.1|:1-2370 Homo sapiens HOX transcript antisense RNA (HOTAIR), transcript variant 1, long non-coding RNA
# Database: User specified sequence set (Input: mouse_hotair.fasta)
# Fields: query acc.ver, query length, subject acc.ver, subject length, q. start, q. end, s. start, s. end, evalue, bit score, score, alignment length, % identity, identical, mismatches, gap opens, gaps
# 46 hits found
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1517	1558	1339	1380	0.65	22.9	24	42	71.429	30	12	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1361	1377	2170	2186	0.65	22.9	24	17	88.235	15	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	992	1002	46	56	2.3	21.1	22	11	100.000	11	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	384	401	225	244	2.3	21.1	22	20	85.000	17	1	1	2
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	50	67	809	793	2.3	21.1	22	18	88.889	16	1	1	1
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1044	1064	971	951	2.3	21.1	22	21	80.952	17	4	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1909	1919	1020	1010	2.3	21.1	22	11	100.000	11	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1927	1945	1120	1138	2.3	21.1	22	19	84.211	16	3	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1304	1317	1172	1185	2.3	21.1	22	14	92.857	13	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1554	1567	2222	2209	2.3	21.1	22	14	92.857	13	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2340	2352	34	46	7.9	19.3	20	13	92.308	12	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1407	1416	81	72	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	637	651	170	184	7.9	19.3	20	15	86.667	13	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1828	1842	325	339	7.9	19.3	20	15	86.667	13	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1339	1348	631	640	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1008	1017	893	884	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	472	486	886	900	7.9	19.3	20	15	86.667	13	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1449	1461	974	962	7.9	19.3	20	13	92.308	12	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2022	2031	1136	1145	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	585	594	1150	1141	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	998	1017	1163	1144	7.9	19.3	20	20	80.000	16	4	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	508	517	1220	1211	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1909	1921	1227	1239	7.9	19.3	20	13	92.308	12	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2208	2217	1384	1393	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2165	2177	1398	1386	7.9	19.3	20	13	92.308	12	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2195	2212	1387	1404	7.9	19.3	20	18	83.333	15	3	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	837	851	1444	1458	7.9	19.3	20	15	86.667	13	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	76	85	1479	1488	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2335	2347	1541	1553	7.9	19.3	20	13	92.308	12	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1764	1783	1569	1588	7.9	19.3	20	20	80.000	16	4	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1568	1577	1919	1928	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	661	670	1936	1945	7.9	19.3	20	10	100.000	10	0	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2199	2208	2119	2128	7.9	19.3	20	10	100.000	10	0	0	0
# BLAST processed 1 queries
